Format,Players,Name,URL,Date,Status,Organization
Pauper,40,BRISTOL PAUPER LEAGUE WINTER '25: LEG 4,"https://melee.gg/Tournament/View/389212",2026-01-08,Ended,Pauper League Bristol
Pauper,39,Mont Weekly Pauper,"https://melee.gg/Tournament/View/394678",2026-01-06,Ended,Mont CardShop
Pauper,38,Mont Weekly Pauper,"https://melee.gg/Tournament/View/396386",2026-01-13,Ended,Mont CardShop
Pauper,37,$1K Pauper - SCG CON Atlanta - Sunday - 9:00 am,"https://melee.gg/Tournament/View/387522",2026-01-11,Ended,Star City Games
Pauper,37,BRISTOL PAUPER LEAGUE WINTER '25: LEG 5,"https://melee.gg/Tournament/View/389959",2026-01-15,Ended,Pauper League Bristol
Pauper,37,Mont Weekly Pauper,"https://melee.gg/Tournament/View/402702",2026-02-10,Ended,Mont CardShop
Pauper,36,"Lega Pauper Genova, Winter Season Lunedi 16 Ore 20.30  ","https://melee.gg/Tournament/View/403937",2026-02-16,Ended,Lega Pauper Genova
Pauper,36,Pimpou Pauper 2k,"https://melee.gg/Tournament/View/403856",2026-02-23,Ended,Pimpou Cards
Pauper,33,"Lega Pauper Genova, Winter Season Lunedi 9 Febbraio Ore 20.30     ","https://melee.gg/Tournament/View/401807",2026-02-09,Ended,Lega Pauper Genova
Pauper,32,"Lega Pauper Genova, Winter Season Lunedi 23 Ore 20.30   ","https://melee.gg/Tournament/View/405664",2026-02-23,Ended,Lega Pauper Genova
Pauper,32,"Lega Pauper Genova, Winter Season Lunedi 5 Gennaio Ore 20.30      ","https://melee.gg/Tournament/View/393446",2026-01-05,Ended,Lega Pauper Genova
Pauper,32,Mont Weekly Pauper,"https://melee.gg/Tournament/View/399710",2026-01-27,Ended,Mont CardShop
Pauper,31,BRISTOL PAUPER LEAGUE WINTER '25: LEG 6,"https://melee.gg/Tournament/View/389960",2026-01-22,Ended,Pauper League Bristol
Pauper,31,Mont Weekly Pauper,"https://melee.gg/Tournament/View/400620",2026-02-03,Ended,Mont CardShop
Pauper,30,BRISTOL PAUPER LEAGUE WINTER '25: LEG 8,"https://melee.gg/Tournament/View/389962",2026-02-05,Ended,Pauper League Bristol
Pauper,30,BRISTOL PAUPER LEAGUE WINTER '25: LEG 9,"https://melee.gg/Tournament/View/389963",2026-02-12,Ended,Pauper League Bristol
Pauper,30,"Lega Pauper Genova, Summer Season Lunedi 2 Marzo Ore 20.30   ","https://melee.gg/Tournament/View/407807",2026-03-02,Ended,Lega Pauper Genova
Pauper,30,Mont Weekly Pauper,"https://melee.gg/Tournament/View/397976",2026-01-20,Ended,Mont CardShop
Pauper,29,BRISTOL PAUPER LEAGUE WINTER '25: LEG 7,"https://melee.gg/Tournament/View/389961",2026-01-29,Ended,Pauper League Bristol
Pauper,27,BRISTOL PAUPER LEAGUE WINTER '25: LEG 10,"https://melee.gg/Tournament/View/389964",2026-02-19,Ended,Pauper League Bristol
Pauper,26,"Lega Pauper Genova, Winter Season Lunedi 19 Gennaio Ore 20.30   ","https://melee.gg/Tournament/View/396602",2026-01-19,Ended,Lega Pauper Genova
Pauper,25,"Lega Pauper Genova, Winter Season Lunedi 2 Febbraio Ore 20.30    ","https://melee.gg/Tournament/View/400194",2026-02-02,Ended,Lega Pauper Genova
Pauper,25,Mont Weekly Pauper,"https://melee.gg/Tournament/View/404253",2026-02-17,Ended,Mont CardShop
Pauper,25,Mont Weekly Pauper,"https://melee.gg/Tournament/View/406222",2026-02-24,Ended,Mont CardShop
Pauper,25,Sprint Wheel Event - Geddon Series 4^ tappa WINTER Ed. 2025,"https://melee.gg/Tournament/View/378180",2026-02-03,Ended,Pauperwave
Pauper,25,WPC Winter Ed. 2026,"https://melee.gg/Tournament/View/398109",2026-02-07,Ended,Wageningen Pauper Cup
Pauper,24,BRISTOL PAUPER LEAGUE WINTER '26: REBOUND EVENT,"https://melee.gg/Tournament/View/405461",2026-02-26,Ended,Pauper League Bristol
Pauper,24,Historic Pauper Cup III,"https://melee.gg/Tournament/View/394636",2026-02-22,In Progress,The Platypus Association (MTGA Pauper)
Pauper,24,"Lega Pauper Genova, Winter Season Lunedi 12 Gennaio Ore 20.30  ","https://melee.gg/Tournament/View/395112",2026-01-12,Ended,Lega Pauper Genova
Pauper,23,"Lega Pauper Genova, Winter Season Lunedi 26 Gennaio Ore 20.30   ","https://melee.gg/Tournament/View/397985",2026-01-26,Ended,Lega Pauper Genova
Pauper,23,Mont Weekly Pauper,"https://melee.gg/Tournament/View/408312",2026-03-03,Ended,Mont CardShop
Pauper,20,SFIDA DEI CAMPIONI,"https://melee.gg/Tournament/View/403783",2026-02-15,Ended,LegaPauperRoma
Pauper,19,Copa Rio Qualifier,"https://melee.gg/Tournament/View/405728",2026-02-22,Ended,Mtg Volta Redonda
Pauper,18,Mont Weekly FNM Pauper,"https://melee.gg/Tournament/View/403291",2026-02-13,Ended,Mont CardShop
Pauper,18,NYC Pauper League Season 4 Championship,"https://melee.gg/Tournament/View/402573",2026-02-15,Ended,Hex & Company
Pauper,17,Pauper $1k,"https://melee.gg/Tournament/View/395854",2026-01-10,Ended,Owl Central Games
Pauper,17,Sprint Wheel Event - Geddon Series 3^ tappa WINTER Ed. 2025 ,"https://melee.gg/Tournament/View/378179",2026-01-06,Ended,Pauperwave
Pauper,17,Weekly FNM Pauper,"https://melee.gg/Tournament/View/407699",2026-02-27,Ended,Mont CardShop
Pioneer,19,Spotlight Series: Ricky,"https://melee.gg/Tournament/View/388655",2026-01-31,Ended,Crew3 Podcast
Pioneer,16,Pioneer Spark!! ONLINE 15th -MTGArena-,"https://melee.gg/Tournament/View/405150",2026-02-21,Ended,Pioneer Spark!!
Premodern,51,1st Hungarian Premodern Nationals,"https://melee.gg/Tournament/View/403380",2026-02-21,Ended,PreTownRivers
Premodern,42,$1K Premodern - SCG CON Milwaukee - Saturday - 10:00 am,"https://melee.gg/Tournament/View/395244",2026-02-21,Ended,Star City Games
Premodern,42,$1K Premodern - SCG CON Portland - Friday - 10:00 am,"https://melee.gg/Tournament/View/390005",2026-01-23,Ended,Star City Games
Premodern,39,$1K Premodern - SCG CON Milwaukee - Friday - 10:30 am,"https://melee.gg/Tournament/View/395227",2026-02-20,Ended,Star City Games
Premodern,36,$1K Premodern - SCG CON Portland - Sunday - 9:00 am,"https://melee.gg/Tournament/View/390007",2026-01-25,Ended,Star City Games
Premodern,34,Premodern Winter 1K,"https://melee.gg/Tournament/View/390113",2026-02-28,Ended,Top Deck Games
Premodern,34,Road To National - Covilhã ,"https://melee.gg/Tournament/View/396302",2026-02-21,Ended,Roll'Oriental
Premodern,29,"Pimpou Premodern 2,5k","https://melee.gg/Tournament/View/403858",2026-02-21,Ended,Pimpou Cards
Premodern,28,$1K Premodern - SCG CON Milwaukee - Sunday - 9:00 am,"https://melee.gg/Tournament/View/395228",2026-02-22,Ended,Star City Games
Premodern,24,Crab Cup Invitational Qualifier 2026 #2,"https://melee.gg/Tournament/View/403668",2026-02-15,Ended,Crab Cup
Premodern,21,Premodern Litoral Alentejano '26 - Primeira Jornada,"https://melee.gg/Tournament/View/393998",2026-01-24,Ended,Premodern Santiago do Cacem
Premodern,21,Road To National Premodern 31/01/2026,"https://melee.gg/Tournament/View/392494",2026-01-31,Ended,End Turn
Premodern,21,WINTERGEDDON 2026,"https://melee.gg/Tournament/View/401528",2026-03-07,Ended,Núcleo Premodern de Santiago do Cacém
Premodern,20,Team Gush End Step Premodern Tournament ,"https://melee.gg/Tournament/View/394481",2026-02-07,Ended,Wax Packs and Throwbacks
Premodern,18,Premodern Litoral Alentejano '26 - Segunda Jornada,"https://melee.gg/Tournament/View/399923",2026-02-21,Ended,Premodern Santiago do Cacem
Premodern,16,Liga PreModern Covilhã 16,"https://melee.gg/Tournament/View/407489",2026-02-26,Ended,Roll'Oriental
Premodern,16,SPMCR Monthly PM Olympus Garden Febrero,"https://melee.gg/Tournament/View/405529",2026-03-01,Ended,SPMCR
Standard,1202,Regional Championship - SCG CON Milwaukee - Season 4 - Round 2 - Saturday - 9:00 am,"https://melee.gg/Tournament/View/339227",2026-02-21,Ended,Star City Games
Standard,985,Ultimate Guard European Magic Series - Regional Championship - Turin 2026,"https://melee.gg/Tournament/View/392336",2026-03-07,Ended,Fanfinity
Standard,905,Regional Championship - SCG CON Portland - Season 4 - Round 2 - Saturday - 9:00 am,"https://melee.gg/Tournament/View/331949",2026-01-24,Ended,Star City Games
Standard,795,Magic Spotlight: The Avatar - SCG CON Atlanta - Saturday - 9:00 am,"https://melee.gg/Tournament/View/351308",2026-01-10,Ended,Star City Games
Standard,750,[Lyon Sat 09:00] Magic Spotlight Series - Lyon 2026,"https://melee.gg/Tournament/View/392401",2026-01-10,Ended,Fanfinity
Standard,685,Magic Spotlight: Teenage Mutant Ninja Turtles - SCG CON Richmond - Saturday - 9:00 am,"https://melee.gg/Tournament/View/385921",2026-03-07,Ended,Star City Games
Standard,275,[Turin Sun 09:30] Ultimate Guard Open: Standard,"https://melee.gg/Tournament/View/409399",2026-03-08,In Progress,Fanfinity
Standard,240,Vancouver Round 11 Regional Championship,"https://melee.gg/Tournament/View/393283",2026-02-21,Ended,F2FTour.com
Standard,211,South America Regional Championship Santiago 2026,"https://melee.gg/Tournament/View/401688",2026-02-14,Ended,Devir Brasil
Standard,191,$uper $unday RCQ - Standard - SCG CON Milwaukee - Sunday - 9:30 am,"https://melee.gg/Tournament/View/395249",2026-02-22,Ended,Star City Games
Standard,182,CAMS Regional Championship - T11,"https://melee.gg/Tournament/View/408838",2026-03-07,Ended,Necrotower gamecenter
Standard,149,2nd Chance PTQ - Sunday - (PT ECL),"https://melee.gg/Tournament/View/401259",2026-02-01,Ended,Wizards of the Coast
Standard,141,$uper $unday RCQ - Standard - SCG CON Portland - Sunday - 9:30 am,"https://melee.gg/Tournament/View/390010",2026-01-25,Ended,Star City Games
Standard,135,LCQ - Standard - SCG CON Portland - Friday - 9:30 am (Online Registration Only),"https://melee.gg/Tournament/View/389967",2026-01-23,Ended,Star City Games
Standard,134,$5K RCQ - Standard - SCG CON Milwaukee - Saturday - 9:30 am,"https://melee.gg/Tournament/View/395245",2026-02-21,Ended,Star City Games
Standard,130,LCQ - Standard - SCG CON Milwaukee - Friday - 9:30 am (Online Registration Only),"https://melee.gg/Tournament/View/395166",2026-02-20,Ended,Star City Games
Standard,120,Arena Championship 11,"https://melee.gg/Tournament/View/402685",2026-02-21,Ended,Wizards of the Coast
Standard,119,[Lyon Sun 09:30] Destination Qualifier: Standard,"https://melee.gg/Tournament/View/394576",2026-01-11,Ended,Fanfinity
Standard,111,$5K RCQ - Standard - SCG CON Portland - Saturday - 9:30 am,"https://melee.gg/Tournament/View/390009",2026-01-24,Ended,Star City Games
Standard,103,ReCQ - Standard - SCG CON Atlanta - Friday - 12:00 pm,"https://melee.gg/Tournament/View/387500",2026-01-09,Ended,Star City Games
Standard,102,Sector Qualifier - Standard Registration - Phoenix - Saturday - 10:00 am,"https://melee.gg/Tournament/View/390211",2026-01-17,Ended,Star City Games
Standard,95,LCQ - Standard - SCG CON Milwaukee - Friday - 12:30 pm,"https://melee.gg/Tournament/View/395178",2026-02-20,Ended,Star City Games
Standard,93,2nd Chance PTQ - Saturday - (PT ECL) ,"https://melee.gg/Tournament/View/401039",2026-01-31,Ended,Wizards of the Coast
Standard,89,LCQ - Standard - SCG CON Milwaukee - Friday - 2:30 pm,"https://melee.gg/Tournament/View/395182",2026-02-20,Ended,Star City Games
Standard,85,$uper $unday RCQ - Standard - SCG CON Atlanta - Sunday - 9:30 am,"https://melee.gg/Tournament/View/387525",2026-01-11,Ended,Star City Games
Standard,83,ReCQ - Standard - SCG CON Atlanta - Friday - 4:00 pm,"https://melee.gg/Tournament/View/387506",2026-01-09,Ended,Star City Games
Standard,83,ReCQ - Standard - SCG CON Richmond - Friday - 12:00 pm,"https://melee.gg/Tournament/View/402350",2026-03-06,Ended,Star City Games
Standard,83,The NYCIS Heavy Play Championship,"https://melee.gg/Tournament/View/391510",2026-01-17,Ended,Hex & Company
Standard,82,$uper $unday RCQ - Standard - SCG CON Richmond - Sunday - 9:30 am,"https://melee.gg/Tournament/View/402340",2026-03-08,Ended,Star City Games
Standard,81,LCQ - Standard - SCG CON Portland - Friday - 3:00 pm,"https://melee.gg/Tournament/View/389979",2026-01-23,Ended,Star City Games
Standard,80,LCQ - Standard - SCG CON Milwaukee - Friday - 10:30 am,"https://melee.gg/Tournament/View/395175",2026-02-20,Ended,Star City Games
Standard,80,LCQ - Standard - SCG CON Milwaukee - Friday - 1:30 pm,"https://melee.gg/Tournament/View/395180",2026-02-20,Ended,Star City Games
